Algorithm,Group,G-PoF_mean,G-PoF_std,FairGroupCost_mean,FairGroupCost_std,UnfairGroupCost_mean,UnfairGroupCost_std
Bera,Asian,1.791321,0.239987,2.75,1.78,1.47,0.83
Bera,Black,1.203152,0.088595,2.96,1.37,2.42,0.94
Bera,Multi,1.489913,0.041603,5.25,2.01,3.51,1.26
Bera,Native,1.496447,0.485718,1.30,1.08,1.03,1.07
Bera,Other,1.230842,0.236503,1.64,0.46,1.32,0.13
Bera,White,1.033520,0.004098,22.94,1.96,22.19,1.81
Bercea,Asian,1.747902,0.393360,2.36,1.05,1.32,0.47
Bercea,Black,1.121522,0.021065,2.94,0.65,2.62,0.54
Bercea,Multi,1.427336,0.086520,4.12,0.26,2.89,0.31
Bercea,Native,1.666889,0.772387,0.55,0.04,0.37,0.13
Bercea,Other,1.708659,0.267175,2.17,0.35,1.31,0.37
Bercea,White,1.044209,0.018056,23.56,3.91,22.55,3.60
Böhm,Asian,0.696209,0.402458,1.52,1.12,2.10,0.43
Böhm,Black,3.311582,0.460163,10.06,1.76,3.05,0.44
Böhm,Multi,1.787587,0.052532,6.70,2.28,3.74,1.27
Böhm,Native,4.327995,2.967701,1.24,0.60,0.37,0.27
Böhm,Other,2.436113,1.590934,3.98,2.86,1.50,0.32
Böhm,White,2.454755,0.469017,59.10,11.09,24.24,2.88
Backurs,Asian,10.609848,3.211446,11.39,1.42,1.13,0.28
Backurs,Black,6.395505,1.214201,14.79,3.59,2.41,0.88
Backurs,Multi,5.513409,0.442050,20.31,4.61,3.72,0.99
Backurs,Native,4.623651,1.575509,2.15,1.00,0.48,0.20
Backurs,Other,5.887544,1.361607,9.03,1.84,1.65,0.76
Backurs,White,2.834199,0.370090,59.34,5.07,21.03,1.06
